Item Code,Item Group,Default Unit of Measure,Has Variants,Maintain Stock,Is Fixed Asset,Asset Category,Brand,Description,End of Life,Shelf Life In Days,Variant Of,Variant Based On,Safety Stock,Lead Time in days,HSN/SAC,Attribute (Variant Attributes),Attribute Value (Variant Attributes)
FLEXIBLE COPPER CABLE BLUE 1 SQMM X1 CORE KIRAN,ELECTRICALS,Meter,0,1,0,,KIRAN,,,,FIXBLE COPPER CABLE,Item Attribute,300.0,7,85364900,Color,BLUE ( KIRAN)
FLEXIBLE COPPER CABLE BLUE 1 SQMM X1 CORE PLOYCAB,ELECTRICALS,Meter,0,1,0,,PLOYCAB,,,,FIXBLE COPPER CABLE,Item Attribute,300.0,7,85364900,Color,BLUE (LOYCAB)
FLEXIBLE COPPER CABLE BLUE 1 SQMM X1 CORE LEGRAND,ELECTRICALS,Meter,0,1,0,,LEGRAND,,,,FIXBLE COPPER CABLE,Item Attribute,300.0,7,85364900,Color,BLUE (EGRAND)
FLEXIBLE COPPER CABLE YELLOW 1 SQMM X1 CORE KIRAN,ELECTRICALS,Meter,0,1,0,,KIRAN,,,,FIXBLE COPPER CABLE,Item Attribute,300.0,7,85364900,Color,YELLOW ( KIRAN)
FLEXIBLE COPPER CABLE YELLOW 1 SQMM X1 CORE PLOYCAB,ELECTRICALS,Meter,0,1,0,,PLOYCAB,,,,FIXBLE COPPER CABLE,Item Attribute,300.0,7,85364900,Color,YELLOW (LOYCAB)
FLEXIBLE COPPER CABLE YELLOW 1 SQMM X1 CORE LEGRAND,ELECTRICALS,Meter,0,1,0,,LEGRAND,,,,FIXBLE COPPER CABLE,Item Attribute,300.0,7,85364900,Color,YELLOW (EGRAND)
FLEXIBLE COPPER CABLE GREEN 1 SQMM X1 CORE KIRAN,ELECTRICALS,Meter,0,1,0,,KIRAN,,,,FIXBLE COPPER CABLE,Item Attribute,300.0,7,85364900,Color,GREEN ( KIRAN)
FLEXIBLE COPPER CABLE GREEN 1 SQMM X1 CORE PLOYCAB,ELECTRICALS,Meter,0,1,0,,PLOYCAB,,,,FIXBLE COPPER CABLE,Item Attribute,300.0,7,85364900,Color,GREEN (LOYCAB)
FLEXIBLE COPPER CABLE GREEN 1 SQMM X1 CORE LEGRAND,ELECTRICALS,Meter,0,1,0,,LEGRAND,,,,FIXBLE COPPER CABLE,Item Attribute,300.0,7,85364900,Color,GREEN (EGRAND)
FLEXIBLE COPPER CABLE RED 1.5 SQMM X1 CORE POLYCAB,ELECTRICALS,Meter,0,1,0,,POLYCAB,,,,FIXBLE COPPER CABLE,Item Attribute,300.0,7,85364900,Color,RED (OLYCAB)
FLEXIBLE COPPER CABLE RED 1.5 SQMM X1 CORE LEGRAND,ELECTRICALS,Meter,0,1,0,,LEGRAND,,,,FIXBLE COPPER CABLE,Item Attribute,300.0,7,85364900,Color,RED (EGRAND)
FLEXIBLE COPPER CABLE BLUE 1.5 SQMM X1 CORE POLYCAB,ELECTRICALS,Meter,0,1,0,,POLYCAB,,,,FIXBLE COPPER CABLE,Item Attribute,300.0,7,85364900,Color,BLUE (OLYCAB)
FLEXIBLE COPPER CABLE BLUE 1.5 SQMM X1 CORE LEGRAND,ELECTRICALS,Meter,0,1,0,,LEGRAND,,,,FIXBLE COPPER CABLE,Item Attribute,300.0,7,85364900,Color,BLUE (EGRAND)
FLEXIBLE COPPER CABLE YELLOW 1.5 SQMM X1 CORE POLYCAB,ELECTRICALS,Meter,0,1,0,,POLYCAB,,,,FIXBLE COPPER CABLE,Item Attribute,300.0,7,85364900,Color,YELLOW (OLYCAB)
FLEXIBLE COPPER CABLE YELLOW 1.5 SQMM X1 CORE LEGRAND,ELECTRICALS,Meter,0,1,0,,LEGRAND,,,,FIXBLE COPPER CABLE,Item Attribute,300.0,7,85364900,Color,YELLOW (EGRAND)
FLEXIBLE COPPER CABLE GREEN 1.5 SQMM X1 CORE POLYCAB,ELECTRICALS,Meter,0,1,0,,POLYCAB,,,,FIXBLE COPPER CABLE,Item Attribute,300.0,7,85364900,Color,GREEN (OLYCAB)
FLEXIBLE COPPER CABLE GREEN 1.5 SQMM X1 CORE LEGRAND,ELECTRICALS,Meter,0,1,0,,LEGRAND,,,,FIXBLE COPPER CABLE,Item Attribute,300.0,7,85364900,Color,GREEN (EGRAND)
FLEXIBLE COPPER CABLE RED 2.5 SQMM X 1 CORE POLYCAB,ELECTRICALS,Meter,0,1,0,,POLYCAB,,,,FIXBLE COPPER CABLE,Item Attribute,300.0,7,85364900,Color,RED (OLYCAB)
FLEXIBLE COPPER CABLE RED 2.5 SQMM X 1 CORE LEGRAND,ELECTRICALS,Meter,0,1,0,,LEGRAND,,,,FIXBLE COPPER CABLE,Item Attribute,300.0,7,85364900,Color,RED (EGRAND)
FLEXIBLE COPPER CABLE BLUE 2.5 SQMM X 1 CORE POLYCAB,ELECTRICALS,Meter,0,1,0,,POLYCAB,,,,FIXBLE COPPER CABLE,Item Attribute,300.0,7,85364900,Color,BLUE (OLYCAB)
FLEXIBLE COPPER CABLE BLUE 2.5 SQMM X 1 CORE LEGRAND,ELECTRICALS,Meter,0,1,0,,LEGRAND,,,,FIXBLE COPPER CABLE,Item Attribute,300.0,7,85364900,Color,BLUE (EGRAND)
FLEXIBLE COPPER CABLE YELLOW 2.5 SQMM X 1 CORE POLYCAB,ELECTRICALS,Meter,0,1,0,,POLYCAB,,,,FIXBLE COPPER CABLE,Item Attribute,300.0,7,85364900,Color,YELLOW (OLYCAB)
FLEXIBLE COPPER CABLE YELLOW 2.5 SQMM X 1 CORE LEGRAND,ELECTRICALS,Meter,0,1,0,,LEGRAND,,,,FIXBLE COPPER CABLE,Item Attribute,300.0,7,85364900,Color,YELLOW (EGRAND)
FLEXIBLE COPPER CABLE GREEN 2.5 SQMM X 1 CORE POLYCAB,ELECTRICALS,Meter,0,1,0,,POLYCAB,,,,FIXBLE COPPER CABLE,Item Attribute,300.0,7,85364900,Color,GREEN (OLYCAB)
FLEXIBLE COPPER CABLE GREEN 2.5 SQMM X 1 CORE LEGRAND,ELECTRICALS,Meter,0,1,0,,LEGRAND,,,,FIXBLE COPPER CABLE,Item Attribute,300.0,7,85364900,Color,GREEN (EGRAND)
FLEXIBLE COPPER CABLE RED 4 SQMM X 1 CORE POLYCAB,ELECTRICALS,Meter,0,1,0,,POLYCAB,,,,FIXBLE COPPER CABLE,Item Attribute,100.0,7,85364900,Color,RED (OLYCAB)
FLEXIBLE COPPER CABLE RED 4 SQMM X 1 CORE LEGRAND,ELECTRICALS,Meter,0,1,0,,LEGRAND,,,,FIXBLE COPPER CABLE,Item Attribute,100.0,7,85364900,Color,RED (EGRAND)
FLEXIBLE COPPER CABLE BLUE 4 SQMM X 1 CORE POLYCAB,ELECTRICALS,Meter,0,1,0,,POLYCAB,,,,FIXBLE COPPER CABLE,Item Attribute,100.0,7,85364900,Color,BLUE (OLYCAB)
FLEXIBLE COPPER CABLE BLUE 4 SQMM X 1 CORE LEGRAND,ELECTRICALS,Meter,0,1,0,,LEGRAND,,,,FIXBLE COPPER CABLE,Item Attribute,100.0,7,85364900,Color,BLUE (EGRAND)
FLEXIBLE COPPER CABLE YELLOW 4 SQMM X 1 CORE POLYCAB,ELECTRICALS,Meter,0,1,0,,POLYCAB,,,,FIXBLE COPPER CABLE,Item Attribute,100.0,7,85364900,Color,YELLOW (OLYCAB)
FLEXIBLE COPPER CABLE YELLOW 4 SQMM X 1 CORE LEGRAND,ELECTRICALS,Meter,0,1,0,,LEGRAND,,,,FIXBLE COPPER CABLE,Item Attribute,100.0,7,85364900,Color,YELLOW (EGRAND)
FLEXIBLE COPPER CABLE GREEN 4 SQMM X 1 CORE POLYCAB,ELECTRICALS,Meter,0,1,0,,POLYCAB,,,,FIXBLE COPPER CABLE,Item Attribute,100.0,7,85364900,Color,GREEN (OLYCAB)
FLEXIBLE COPPER CABLE GREEN 4 SQMM X 1 CORE LEGRAND,ELECTRICALS,Meter,0,1,0,,LEGRAND,,,,FIXBLE COPPER CABLE,Item Attribute,100.0,7,85364900,Color,GREEN (EGRAND)
CABLE ALUMINIUM ARMOURED 1.5 SQMMX3 CORE POLYCAB,ELECTRICALS,Meter,0,1,0,,POLYCAB,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,1.5 SQMM (OLYCAB)
CABLE ALUMINIUM ARMOURED 1.5 SQMMX3 CORE LEGRAND,ELECTRICALS,Meter,0,1,0,,LEGRAND,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,1.5 SQMM (EGRAND)
CABLE ALUMINIUM ARMOURED 1.5 SQMMX4 CORE POLYCAB,ELECTRICALS,Meter,0,1,0,,POLYCAB,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,1.5 SQMM (OLYCAB)
CABLE ALUMINIUM ARMOURED 1.5 SQMMX4 CORE LEGRAND,ELECTRICALS,Meter,0,1,0,,LEGRAND,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,1.5 SQMM (EGRAND)
CABLE ALUMINIUM ARMOURED 2.5 SQMMX3 CORE POLYCAB,ELECTRICALS,Meter,0,1,0,,POLYCAB,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,2.5 SQMM (OLYCAB)
CABLE ALUMINIUM ARMOURED 2.5 SQMMX3 CORE LEGRAND,ELECTRICALS,Meter,0,1,0,,LEGRAND,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,2.5 SQMM (EGRAND)
CABLE ALUMINIUM ARMOURED 2.5 SQMMX4 CORE POLYCAB,ELECTRICALS,Meter,0,1,0,,POLYCAB,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,2.5 SQMM (OLYCAB)
CABLE ALUMINIUM ARMOURED 2.5 SQMMX4 CORE LEGRAND,ELECTRICALS,Meter,0,1,0,,LEGRAND,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,2.5 SQMM (EGRAND)
CABLE ALUMINIUM ARMOURED 4 SQMMX3 CORE POLYCAB,ELECTRICALS,Meter,0,1,0,,POLYCAB,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,4 SQMM (OLYCAB)
CABLE ALUMINIUM ARMOURED 4 SQMMX3 CORE LEGRAND,ELECTRICALS,Meter,0,1,0,,LEGRAND,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,4 SQMM (EGRAND)
CABLE ALUMINIUM ARMOURED 4 SQMMX4 CORE POLYCAB,ELECTRICALS,Meter,0,1,0,,POLYCAB,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,4 SQMM (OLYCAB)
CABLE ALUMINIUM ARMOURED 4 SQMMX4 CORE LEGRAND,ELECTRICALS,Meter,0,1,0,,LEGRAND,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,4 SQMM (EGRAND)
CABLE ALUMINIUM ARMOURED 6 SQMMX3 CORE POLYCAB,ELECTRICALS,Meter,0,1,0,,POLYCAB,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,6 SQMM (OLYCAB)
CABLE ALUMINIUM ARMOURED 6 SQMMX3 CORE LEGRAND,ELECTRICALS,Meter,0,1,0,,LEGRAND,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,6 SQMM (EGRAND)
CABLE ALUMINIUM ARMOURED 6 SQMMX4 CORE POLYCAB,ELECTRICALS,Meter,0,1,0,,POLYCAB,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,6 SQMM (OLYCAB)
CABLE ALUMINIUM ARMOURED 6 SQMMX4 CORE LEGRAND,ELECTRICALS,Meter,0,1,0,,LEGRAND,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,6 SQMM (EGRAND)
CABLE ALUMINIUM ARMOURED 10 SQMMX4 CORE POLYCAB,ELECTRICALS,Meter,0,1,0,,POLYCAB,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,10 SQMM (OLYCAB)
CABLE ALUMINIUM ARMOURED 10 SQMMX4 CORE LEGRAND,ELECTRICALS,Meter,0,1,0,,LEGRAND,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,10 SQMM (EGRAND)
CABLE ALUMINIUM ARMOURED 10 SQMMX5 CORE POLYCAB,ELECTRICALS,Meter,0,1,0,,POLYCAB,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,10 SQMM (OLYCAB)
CABLE ALUMINIUM ARMOURED 10 SQMMX5 CORE LEGRAND,ELECTRICALS,Meter,0,1,0,,LEGRAND,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,10 SQMM (EGRAND)
CABLE ALUMINIUM ARMOURED 16 SQMMX 4 CORE POLYCAB,ELECTRICALS,Meter,0,1,0,,POLYCAB,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,16 SQMM (OLYCAB)
CABLE ALUMINIUM ARMOURED 16 SQMMX 4 CORE LEGRAND,ELECTRICALS,Meter,0,1,0,,LEGRAND,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,16 SQMM (EGRAND)
CABLE ALUMINIUM ARMOURED 16 SQMMX 5 CORE POLYCAB,ELECTRICALS,Meter,0,1,0,,POLYCAB,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,16 SQMM (OLYCAB)
CABLE ALUMINIUM ARMOURED 16 SQMMX 5 CORE LEGRAND,ELECTRICALS,Meter,0,1,0,,LEGRAND,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,16 SQMM (EGRAND)
CABLE ALUMINIUM ARMOURED 25 SQMMX 4 CORE POLYCAB,ELECTRICALS,Meter,0,1,0,,POLYCAB,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,25 SQMM (OLYCAB)
CABLE ALUMINIUM ARMOURED 25 SQMMX 4 CORE LEGRAND,ELECTRICALS,Meter,0,1,0,,LEGRAND,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,25 SQMM (EGRAND)
CABLE ALUMINIUM ARMOURED 25 SQMMX 5 CORE POLYCAB,ELECTRICALS,Meter,0,1,0,,POLYCAB,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,25 SQMM (OLYCAB)
CABLE ALUMINIUM ARMOURED 25 SQMMX 5 CORE LEGRAND,ELECTRICALS,Meter,0,1,0,,LEGRAND,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,25 SQMM (EGRAND)
CABLE ALUMINIUM ARMOURED 35 SQMMX 4 CORE POLYCAB,ELECTRICALS,Meter,0,1,0,,POLYCAB,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,35 SQMM (OLYCAB)
CABLE ALUMINIUM ARMOURED 35 SQMMX 4 CORE LEGRAND,ELECTRICALS,Meter,0,1,0,,LEGRAND,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,35 SQMM (EGRAND)
CABLE ALUMINIUM ARMOURED 35 SQMMX 5 CORE POLYCAB,ELECTRICALS,Meter,0,1,0,,POLYCAB,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,35 SQMM (OLYCAB)
CABLE ALUMINIUM ARMOURED 35 SQMMX 5 CORE LEGRAND,ELECTRICALS,Meter,0,1,0,,LEGRAND,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,35 SQMM (EGRAND)
CABLE ALUMINIUM ARMOURED 50 SQMMX 4 CORE POLYCAB,ELECTRICALS,Meter,0,1,0,,POLYCAB,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,50 SQMM (OLYCAB)
CABLE ALUMINIUM ARMOURED 50 SQMMX 4 CORE LEGRAND,ELECTRICALS,Meter,0,1,0,,LEGRAND,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,50 SQMM (EGRAND)
CABLE ALUMINIUM ARMOURED 50 SQMMX 5 CORE POLYCAB,ELECTRICALS,Meter,0,1,0,,POLYCAB,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,50 SQMM (OLYCAB)
CABLE ALUMINIUM ARMOURED 50 SQMMX 5 CORE LEGRAND,ELECTRICALS,Meter,0,1,0,,LEGRAND,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,50 SQMM (EGRAND)
CABLE ALUMINIUM ARMOURED 75 SQMMX 4 CORE POLYCAB,ELECTRICALS,Meter,0,1,0,,POLYCAB,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,75 SQMM (OLYCAB)
CABLE ALUMINIUM ARMOURED 75 SQMMX 4 CORE LEGRAND,ELECTRICALS,Meter,0,1,0,,LEGRAND,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,75 SQMM (EGRAND)
CABLE ALUMINIUM ARMOURED 75 SQMMX 5 CORE POLYCAB,ELECTRICALS,Meter,0,1,0,,POLYCAB,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,75 SQMM (OLYCAB)
CABLE ALUMINIUM ARMOURED 75 SQMMX 5 CORE LEGRAND,ELECTRICALS,Meter,0,1,0,,LEGRAND,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,75 SQMM (EGRAND)
CABLE ALUMINIUM ARMOURED 100 SQMMX 4 CORE POLYCAB,ELECTRICALS,Meter,0,1,0,,POLYCAB,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,100 SQMM (OLYCAB)
CABLE ALUMINIUM ARMOURED 100 SQMMX 4 CORE LEGRAND,ELECTRICALS,Meter,0,1,0,,LEGRAND,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,100 SQMM (EGRAND)
CABLE ALUMINIUM ARMOURED 100 SQMMX 5 CORE POLYCAB,ELECTRICALS,Meter,0,1,0,,POLYCAB,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,100 SQMM (OLYCAB)
CABLE ALUMINIUM ARMOURED 100 SQMMX 5 CORE LEGRAND,ELECTRICALS,Meter,0,1,0,,LEGRAND,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,100 SQMM (EGRAND)
CABLE ALUMINIUM ARMOURED 185 SQMMX4 CORE POLYCAB,ELECTRICALS,Meter,0,1,0,,POLYCAB,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,185 SQMM (OLYCAB)
CABLE ALUMINIUM ARMOURED 185 SQMMX4 CORE LEGRAND,ELECTRICALS,Meter,0,1,0,,LEGRAND,,,,CABLE ALUMINIUM ARMOURED,Item Attribute,100.0,7,85364900,Cross Section,185 SQMM (EGRAND)
CAPCIATOR,ELECTRICALS,Nos,0,1,0,,,,,,,,1.0,7,85364900,,
"WOODEN BOARD 6""X8""",ELECTRICALS,Nos,0,1,0,,,,,,,,1.0,7,85364900,,
PVC BOARD 4 MODULAR,ELECTRICALS,Nos,0,1,0,,,,,,PVC BOARD,Item Attribute,6.0,7,85364900,Modular,4 MODULAR
PVC BOARD 8 MODULAR,ELECTRICALS,Nos,0,1,0,,,,,,PVC BOARD,Item Attribute,6.0,7,85364900,Modular,8 MODULAR
PVC BOARD 12 MODULAR,ELECTRICALS,Nos,0,1,0,,,,,,PVC BOARD,Item Attribute,6.0,7,85364900,Modular,12 MODULAR
HL BLUB,ELECTRICALS,Nos,0,1,0,,,,,,,,6.0,7,85364900,,
"CUTTING PLIER 8""/10"" TAPARIYA",ELECTRICALS,Nos,0,1,0,,TAPARIYA,,,,,,3.0,7,85364900,,
TESTER TAPARIYA,ELECTRICALS,Nos,0,1,0,,TAPARIYA,,,,,,3.0,7,85364900,,
BLUB 40 WT,ELECTRICALS,Nos,0,1,0,,,,,,BLUB,Item Attribute,6.0,7,85364900,Wattage,40 WT
BLUB 60 WT,ELECTRICALS,Nos,0,1,0,,,,,,BLUB,Item Attribute,6.0,7,85364900,Wattage,60 WT
PVC MCB BOX 1 WAY,ELECTRICALS,Nos,0,1,0,,,,,,PVC MCB BOX,Item Attribute,3.0,7,85364900,Ways,1 WAY
PVC MCB BOX 2 WAY,ELECTRICALS,Nos,0,1,0,,,,,,PVC MCB BOX,Item Attribute,3.0,7,85364900,Ways,2 WAY
PVC MCB BOX 3 WAY,ELECTRICALS,Nos,0,1,0,,,,,,PVC MCB BOX,Item Attribute,3.0,7,85364900,Ways,3 WAY
PVC MCB BOX 4 WAY,ELECTRICALS,Nos,0,1,0,,,,,,PVC MCB BOX,Item Attribute,3.0,7,85364900,Ways,4 WAY
METAL MCB BOX 1 WAY,ELECTRICALS,Nos,0,1,0,,,,,,METAL MCB BOX,Item Attribute,3.0,7,85364900,Ways,1 WAY
METAL MCB BOX 2 WAY,ELECTRICALS,Nos,0,1,0,,,,,,METAL MCB BOX,Item Attribute,3.0,7,85364900,Ways,2 WAY
METAL MCB BOX 3 WAY,ELECTRICALS,Nos,0,1,0,,,,,,METAL MCB BOX,Item Attribute,3.0,7,85364900,Ways,3 WAY
METAL MCB BOX 4 WAY,ELECTRICALS,Nos,0,1,0,,,,,,METAL MCB BOX,Item Attribute,3.0,7,85364900,Ways,4 WAY
MCB 16 AMP X 1 POLE LEGRAND,ELECTRICALS,Nos,0,1,0,,LEGRAND,,,,MCB,Item Attribute,6.0,7,85364900,Amperage,16 AMP (EGRAND)
MCB 16 AMP X 1 POLE L&T,ELECTRICALS,Nos,0,1,0,,L&T,,,,MCB,Item Attribute,6.0,7,85364900,Amperage,16 AMP (LE L&T)
MCB 16 AMP X 2 POLE LEGRAND,ELECTRICALS,Nos,0,1,0,,LEGRAND,,,,MCB,Item Attribute,6.0,7,85364900,Amperage,16 AMP (EGRAND)
MCB 16 AMP X 2 POLE L&T,ELECTRICALS,Nos,0,1,0,,L&T,,,,MCB,Item Attribute,6.0,7,85364900,Amperage,16 AMP (LE L&T)
MCB 16 AMP X 3 POLE LEGRAND,ELECTRICALS,Nos,0,1,0,,LEGRAND,,,,MCB,Item Attribute,6.0,7,85364900,Amperage,16 AMP (EGRAND)
MCB 16 AMP X 3 POLE L&T,ELECTRICALS,Nos,0,1,0,,L&T,,,,MCB,Item Attribute,6.0,7,85364900,Amperage,16 AMP (LE L&T)
MCB 16 AMP X 4 POLE LEGRAND,ELECTRICALS,Nos,0,1,0,,LEGRAND,,,,MCB,Item Attribute,6.0,7,85364900,Amperage,16 AMP (EGRAND)
MCB 16 AMP X 4 POLE L&T,ELECTRICALS,Nos,0,1,0,,L&T,,,,MCB,Item Attribute,6.0,7,85364900,Amperage,16 AMP (LE L&T)
MCB 20 AMP X 1 POLE LEGRAND,ELECTRICALS,Nos,0,1,0,,LEGRAND,,,,MCB,Item Attribute,6.0,7,85364900,Amperage,20 AMP (EGRAND)
MCB 20 AMP X 1 POLE L&T,ELECTRICALS,Nos,0,1,0,,L&T,,,,MCB,Item Attribute,6.0,7,85364900,Amperage,20 AMP (LE L&T)
MCB 20 AMP X 2 POLE LEGRAND,ELECTRICALS,Nos,0,1,0,,LEGRAND,,,,MCB,Item Attribute,6.0,7,85364900,Amperage,20 AMP (EGRAND)
MCB 20 AMP X 2 POLE L&T,ELECTRICALS,Nos,0,1,0,,L&T,,,,MCB,Item Attribute,6.0,7,85364900,Amperage,20 AMP (LE L&T)
MCB 20 AMP X 3 POLE LEGRAND,ELECTRICALS,Nos,0,1,0,,LEGRAND,,,,MCB,Item Attribute,6.0,7,85364900,Amperage,20 AMP (EGRAND)
MCB 20 AMP X 3 POLE L&T,ELECTRICALS,Nos,0,1,0,,L&T,,,,MCB,Item Attribute,6.0,7,85364900,Amperage,20 AMP (LE L&T)
MCB 20 AMP X 4 POLE LEGRAND,ELECTRICALS,Nos,0,1,0,,LEGRAND,,,,MCB,Item Attribute,6.0,7,85364900,Amperage,20 AMP (EGRAND)
MCB 20 AMP X 4 POLE L&T,ELECTRICALS,Nos,0,1,0,,L&T,,,,MCB,Item Attribute,6.0,7,85364900,Amperage,20 AMP (LE L&T)
MCB 32 AMP X 1 POLE LEGRAND,ELECTRICALS,Nos,0,1,0,,LEGRAND,,,,MCB,Item Attribute,6.0,7,85364900,Amperage,32 AMP (EGRAND)
MCB 32 AMP X 1 POLE L&T,ELECTRICALS,Nos,0,1,0,,L&T,,,,MCB,Item Attribute,6.0,7,85364900,Amperage,32 AMP (LE L&T)
MCB 32 AMP X 2 POLE LEGRAND,ELECTRICALS,Nos,0,1,0,,LEGRAND,,,,MCB,Item Attribute,6.0,7,85364900,Amperage,32 AMP (EGRAND)
MCB 32 AMP X 2 POLE L&T,ELECTRICALS,Nos,0,1,0,,L&T,,,,MCB,Item Attribute,6.0,7,85364900,Amperage,32 AMP (LE L&T)
MCB 32 AMP X 3 POLE LEGRAND,ELECTRICALS,Nos,0,1,0,,LEGRAND,,,,MCB,Item Attribute,6.0,7,85364900,Amperage,32 AMP (EGRAND)
MCB 32 AMP X 3 POLE L&T,ELECTRICALS,Nos,0,1,0,,L&T,,,,MCB,Item Attribute,6.0,7,85364900,Amperage,32 AMP (LE L&T)
MCB 32 AMP X 4 POLE LEGRAND,ELECTRICALS,Nos,0,1,0,,LEGRAND,,,,MCB,Item Attribute,6.0,7,85364900,Amperage,32 AMP (EGRAND)
MCB 32 AMP X 4 POLE L&T,ELECTRICALS,Nos,0,1,0,,L&T,,,,MCB,Item Attribute,6.0,7,85364900,Amperage,32 AMP (LE L&T)
MCB 64 AMP X 1 POLE LEGRAND,ELECTRICALS,Nos,0,1,0,,LEGRAND,,,,MCB,Item Attribute,6.0,7,85364900,Amperage,64 AMP (EGRAND)
MCB 64 AMP X 1 POLE L&T,ELECTRICALS,Nos,0,1,0,,L&T,,,,MCB,Item Attribute,6.0,7,85364900,Amperage,64 AMP (LE L&T)
MCB 64 AMP X 2 POLE LEGRAND,ELECTRICALS,Nos,0,1,0,,LEGRAND,,,,MCB,Item Attribute,6.0,7,85364900,Amperage,64 AMP (EGRAND)
MCB 64 AMP X 2 POLE L&T,ELECTRICALS,Nos,0,1,0,,L&T,,,,MCB,Item Attribute,6.0,7,85364900,Amperage,64 AMP (LE L&T)
MCB 64 AMP X 3 POLE LEGRAND,ELECTRICALS,Nos,0,1,0,,LEGRAND,,,,MCB,Item Attribute,6.0,7,85364900,Amperage,64 AMP (EGRAND)
MCB 64 AMP X 3 POLE L&T,ELECTRICALS,Nos,0,1,0,,L&T,,,,MCB,Item Attribute,6.0,7,85364900,Amperage,64 AMP (LE L&T)
MCB 64 AMP X 4 POLE LEGRAND,ELECTRICALS,Nos,0,1,0,,LEGRAND,,,,MCB,Item Attribute,6.0,7,85364900,Amperage,64 AMP (EGRAND)
MCB 64 AMP X 4 POLE L&T,ELECTRICALS,Nos,0,1,0,,L&T,,,,MCB,Item Attribute,6.0,7,85364900,Amperage,64 AMP (LE L&T)
